Issuer,Issuer Ticker,Bond Name,ISIN,Region,Country,Industry,Sub-Industry,Issuer C-Score,Issue V-Score,Issue V-Score I
3M Co,MMM,MMM 3 5/8 10/15/47,US88579YAZ43,North America,United States,Industrials,Industrial Products,84.73,0.34,-3.5
Adobe Inc,ADBE,ADBE 4.95 04/04/34,US00724PAG46,North America,United States,Technology,Software & Tech Services,87.46,-4.15,-0.02
Dell Inc,DELL,DELL 8.35 07/15/46,USU2526DAF60,North America,United States,Technology,Tech Hardware & Semiconductors,84.1,26.96,14.55
Johnson & Johnson,JNJ,JNJ 3 3/4 03/03/47,US478160CG79,North America,United States,Health Care,Health Care,90.92,37.43,18.36
Mastercard Inc,MA,MA 3.8 11/21/46,US57636QAH74,North America,United States,Financials,Financial Services,86.67,9.47,14.28
Molson Coors Beverage Co,TAP,TAP 4.2 07/15/46,US60871RAH30,North America,United States,Consumer Staples,Consumer Staple Products,85.24,18.47,14.43
TEINE ENERGY LTD,TEINEN,TEINEN 6 7/8 04/15/29,US879068AB03,North America,Canada,Energy,Oil & Gas,73.38,44.27,-10.32
TREEHOUSE FOODS INC,THS,THS 4 09/01/28,US89469AAD63,North America,United States,Consumer Staples,Consumer Staple Products,73.42,10.3,-33.06
VIKING CRUISES LTD,VIKCRU,VIKCRU 9 1/8 07/15/31,US92676XAG25,North America,United States,Consumer Discretionary,Consumer Discretionary Services,73.38,-7.92,11.55
Visa Inc,V,V 3.65 09/15/47,US92826CAJ18,North America,United States,Financials,Financial Services,87.87,13.79,19.35
